ID_KEY;OBL;NU;KMB
023;11;Бюджет с. Добронадіївка;11316506000
023;12;Бюджет м. Кіровська;12205100000
023;13;Бюджет м.Броди;13301301000
023;14;Бюджет Рябоконівської сільської ради;14301510000
023;15;Бюджет м. Ананьїва;15301301000
023;16;МИХАЙЛОВСКИЙ/С.МИХАЙЛОВКА;16301507000
023;17;Бюджет с. Маринин;17301515000
023;18;Бюджет с.Комиші;18311511000
023;19;Бюджет с.Рогачин;19301520000
023;20;Бюджет селища Андріївка;20301401000
023;21;Бюджет с. Кізомис;21302504000
023;22;с. М.Боровиця;22301514000
023;23;Бюджет с. Калинівка;23301509000
023;24;Бюджет с. Черешенька;24301513000
023;25;Бюджет с. Митченки;25301514000
024;01;Бюджет м. Феодосія;01210100000
024;02;КАРИШКIВСЬКА/С.КАРИШКIВ;02301511000
024;03;Бюджет с. Селець;03301516000
024;04;Бюджет Саксаганського району;04205606000
024;05;Бюджет селища Пантелеймонівка;05205403000
024;06;Бюджет Крилівської с\р;06301514000
024;07;Бюджет с.Яноші;07301530000
024;08;Бюджет с.Охримівка;08320505000
024;09;Бюджет селища Богородчани;09301401000
024;10;Бюджет с. Лехнівка;10301507000
024;11;Бюджет с. Долинське;11316507000
024;12;Бюджет селища Донецьке;12205401000
024;13;Бюджет смт.Підкамінь;13301401000
024;14;Бюджет Садівської сільської ради;14301511000
024;15;Бюджет с. Ананьїва Першого;15301501000
024;16;МАТЯШОВСКИЙ/С.МАТЯШОВКА;16301506000
024;17;Бюджет с. Моквин;17301516000
024;18;Бюджет с.Кардашівка;18311509000
024;19;Бюджет с.Рибники;19301519000
024;20;Бюджет селища Савинці;20301402000
024;21;Бюджет с. Киселівка;21302505000
024;22;с. Мокроволя;22301516000
024;23;Бюджет с. Ксаверове;23301510000
024;24;Бюджет с. Чорногузи;24301514000
024;25;Бюджет с. Обмачево;25301515000
025;01;Бюджет селища Орджонікідзе;01210402000
025;02;КОМАРОВЕЦЬКА/С.КОМАРIВЦI;02301512000
025;03;Бюджет с. Стенжаричі;03301517000
025;04;Бюджет Тернівського району;04205605000
025;05;Бюджет с. Озерянівка;05205501000
025;06;Бюджет Лебединецької с\р;06301515000
025;07;Бюджет с.Квасово;07301517000
025;08;Бюджет с.Переможне;08320506000
025;09;Бюджет селища Солотвино;09301402000
025;10;Бюджет с. Лукаші;10301508000
025;11;Бюджет с.ізмайлівка;11316508000
025;12;Бюджет селища Новотошківське;12312408000
025;13;Бюджет с.Батьків;13301501000
025;14;Бюджет Семенівської сільської ради;14301512000
025;15;Бюджет с. Ананьїва Другого;15301502000
025;16;ОСТАПЬЕВСКИЙ/С.ОСТАПЬЕ;16301508000
025;17;Бюджет с. Поліське;17301517000
025;18;Бюджет с.Карпилівка;18311510000
025;19;Бюджет с.Саранчуки;19301521000
025;20;Бюджет селища Червоний Донець;20301403000
025;21;Бюджет с. Музиківка;21302506000
